context,question,answer,rag_answer,hallucination_label
"By 500 BCE, Greeks arrived in the desert. Greek traders spread along the eastern coast of the desert, establishing trading colonies along the Red Sea. The Carthaginians explored the Atlantic coast of the desert, but the turbulence of the waters and the lack of markets caused a lack of presence further south than modern Morocco. Centralized states thus surrounded the desert on the north and east; it remained outside the control of these states. Raids from the nomadic Berber people of the desert were a constant concern of those living on the edge of the desert.",Where did the Greeks established their trading colonies?,Red Sea,"The Greeks established their trading colonies along the eastern coast of the desert, particularly along the Red Sea. They also had a presence in Bahrain, known to them as Tylos, which was a center of pearl trading. Additionally, Greek merchant families set up homes and trading operations around the Mediterranean, including places like Marseilles in France, Livorno in Italy, Alexandria in Egypt, as well as in Russia (Odessa and Saint Petersburg) and Britain (London and Liverpool).",based on the context
"As of November 2008, there is only one person on death row facing capital punishment who has not been convicted of murder. Demarcus Sears remains under a death sentence in Georgia for the crime of ""kidnapping with bodily injury."" Sears was convicted in 1986 for the kidnapping and bodily injury of victim Gloria Ann Wilbur. Wilbur was kidnapped and beaten in Georgia, raped in Tennessee, and murdered in Kentucky. Sears was never charged with the murder of Wilbur in Kentucky, but was sentenced to death by a jury in Georgia for ""kidnapping with bodily injury.""",In what state was Gloria Ann Wilbur murdered?,Kentucky,Gloria Ann Wilbur was murdered in Kentucky.,based on the context
"The U.S. Army currently consists of 10 active divisions as well as several independent units. The force is in the process of contracting after several years of growth. In June 2013, the Army announced plans to downsize to 32 active combat brigade teams by 2015 to match a reduction in active duty strength to 490,000 soldiers. Army Chief of Staff Raymond Odierno has projected that by 2018 the Army will eventually shrink to ""450,000 in the active component, 335,000 in the National Guard and 195,000 in U.S. Army Reserve.""",How many brigade teams did the Army downsize to by 2015?,32,The Army announced plans to downsize to 32 active combat brigade teams by 2015.,based on the context
"The Polish nobility enjoyed many rights that were not available to the noble classes of other countries and, typically, each new monarch conceded them further privileges. Those privileges became the basis of the Golden Liberty in the Polish–Lithuanian Commonwealth. Despite having a king, Poland was called the nobility's Commonwealth because the king was elected by all interested members of hereditary nobility and Poland was considered to be the property of this class, not of the king or the ruling dynasty. This state of affairs grew up in part because of the extinction of the male-line descendants of the old royal dynasty (first the Piasts, then the Jagiellons), and the selection by the nobility of the Polish king from among the dynasty's female-line descendants.",THe polish nobility had many positives compared to others including what?,many rights,"The Polish nobility, or szlachta, enjoyed several privileges that were not available to the noble classes of other countries. These included:

1. **Elective Monarchy**: The king of Poland was elected by all interested members of the hereditary nobility, making Poland a ""nobility's Commonwealth"" where the country was considered the property of the nobility rather than the king or a ruling dynasty.

2. **Golden Liberty**: This was a unique political system in which the nobility had significant power and rights, including the ability to elect the king and influence legislation.

3. **Exemption from Land Tax**: In 1374, the szlachta were exempted from paying land taxes, which was a significant financial privilege.

4. **Protection Against Arbitrary Arrests and Seizures**: In 1425, the nobility were guaranteed protection against arbitrary arrests and the seizure of their property.

5. **Legislative Influence**: From 1454, any military forces and new taxes required approval from provincial Sejms, giving the nobility a substantial role in governance.

These privileges contributed to the unique status and power of the Polish nobility compared to their counterparts in other European countries.",based on the context
"Nanjing is endowed with rich natural resources, which include more than 40 kinds of minerals. Among them, iron and sulfur reserves make up 40 percent of those of Jiangsu province. Its reserves of strontium rank first in East Asia and the South East Asia region. Nanjing also possesses abundant water resources, both from the Yangtze River and groundwater. In addition, it has several natural hot springs such as Tangshan Hot Spring in Jiangning and Tangquan Hot Spring in Pukou.",For what mineral reserve does Nanjing rank first in both East Asia and the South East Asia areas?,strontium,Nanjing's reserves of strontium rank first in both East Asia and the South East Asia regions.,based on the context
"The most catastrophic earthquakes we know of occurred in 31 BCE, 363, 749, and 1033 CE, that is every ca. 400 years on average. Destructive earthquakes leading to serious loss of life strike about every 80 years. While stringent construction regulations are currently in place and recently built structures are earthquake-safe, as of 2007[update] the majority of the buildings in Israel were older than these regulations and many public buildings as well as 50,000 residential buildings did not meet the new standards and were ""expected to collapse"" if exposed to a strong quake. Given the fragile political situation of the Middle East region and the presence there of major holy sites, a quake reaching magnitude 7 on the Richter scale could have dire consequences for world peace.",How often do earthquakes that lead to serious loss of life occur?,every 80 years,Destructive earthquakes leading to serious loss of life strike about every 80 years.,based on the context
"Institute of technology (also: university of technology, polytechnic university, technikon, and technical college) is a designation employed for a wide range of learning institutions awarding different types of degrees and operating often at variable levels of the educational system. It may be an institution of higher education and advanced engineering and scientific research or professional vocational education, specializing in science, engineering, and technology or different sorts of technical subjects. It may also refer to a secondary education school focused in vocational training.[citation needed] The term institute of technology is often abbreviated IT and is not to be confused with information technology.",What's a common abbreviation for the term institute of technology?,IT,"A common abbreviation for the term institute of technology is ""IT.""",based on the context
"The first Madressa established in North America, Al-Rashid Islamic Institute, was established in Cornwall, Ontario in 1983 and has graduates who are Hafiz (Quran) and Ulama. The seminary was established by Mazhar Alam under the direction of his teacher the leading Indian Tablighi scholar Muhammad Zakariya Kandhlawi and focuses on the traditional Hanafi school of thought and shuns Salafist / Wahabi teachings. Due to its proximity to the US border city of Messina the school has historically had a high ratio of US students. Their most prominent graduate Shaykh Muhammad Alshareef completed his Hifz in the early 1990s then went on to deviate from his traditional roots and form the Salafist organization the AlMaghrib Institute.",Where is Al-Rashid Islamic Institute?,"Cornwall, Ontario","Al-Rashid Islamic Institute is located in Cornwall, Ontario.",based on the context
"BBC Television is a service of the British Broadcasting Corporation. The corporation, which has operated in the United Kingdom under the terms of a Royal charter since 1927, has produced television programmes from its own since 1932, although the start of its regular service of television broadcasts is dated to 2 November 1936.",In what country is the BBC headquartered?,United Kingdom,The BBC is headquartered in the United Kingdom.,based on the context
"The observation that old windows are sometimes found to be thicker at the bottom than at the top is often offered as supporting evidence for the view that glass flows over a timescale of centuries, the assumption being that the glass has exhibited the liquid property of flowing from one shape to another. This assumption is incorrect, as once solidified, glass stops flowing. The reason for the observation is that in the past, when panes of glass were commonly made by glassblowers, the technique used was to spin molten glass so as to create a round, mostly flat and even plate (the crown glass process, described above). This plate was then cut to fit a window. The pieces were not absolutely flat; the edges of the disk became a different thickness as the glass spun. When installed in a window frame, the glass would be placed with the thicker side down both for the sake of stability and to prevent water accumulating in the lead cames at the bottom of the window. Occasionally such glass has been found installed with the thicker side at the top, left or right.",When does glass stop moving like a liquid?,once solidified,"Once glass solidifies, it stops flowing and does not move like a liquid. The observation of old windows being thicker at the bottom is due to the manufacturing process used in the past, not because the glass has flowed over time.",based on the context
"In England, the Royal Society of London also played a significant role in the public sphere and the spread of Enlightenment ideas. It was founded by a group of independent scientists and given a royal charter in 1662. The Society played a large role in spreading Robert Boyle's experimental philosophy around Europe, and acted as a clearinghouse for intellectual correspondence and exchange. Boyle was ""a founder of the experimental world in which scientists now live and operate,"" and his method based knowledge on experimentation, which had to be witnessed to provide proper empirical legitimacy. This is where the Royal Society came into play: witnessing had to be a ""collective act"", and the Royal Society's assembly rooms were ideal locations for relatively public demonstrations. However, not just any witness was considered to be credible; ""Oxford professors were accounted more reliable witnesses than Oxfordshire peasants."" Two factors were taken into account: a witness's knowledge in the area; and a witness's ""moral constitution"". In other words, only civil society were considered for Boyle's public.","Whose method based knowledge on experiementation, which had to be witnessed?",Robert Boyle,"Robert Boyle's method based knowledge on experimentation, which had to be witnessed to provide proper empirical legitimacy.",based on the context
"Unlike other new communist states in east-central Europe, Yugoslavia liberated itself from Axis domination with limited direct support from the Red Army. Tito's leading role in liberating Yugoslavia not only greatly strengthened his position in his party and among the Yugoslav people, but also caused him to be more insistent that Yugoslavia had more room to follow its own interests than other Bloc leaders who had more reasons (and pressures) to recognize Soviet efforts in helping them liberate their own countries from Axis control. Although Tito was formally an ally of Stalin after World War II, the Soviets had set up a spy ring in the Yugoslav party as early as 1945, giving way to an uneasy alliance.[citation needed]",From what domination did Yugoslavia liberate itself?,Axis,Yugoslavia liberated itself from Axis domination.,based on the context
"The development of a three-field rotation system for planting crops[AA] increased the usage of land from one half in use each year under the old two-field system to two-thirds under the new system, with a consequent increase in production. The development of the heavy plough allowed heavier soils to be farmed more efficiently, aided by the spread of the horse collar, which led to the use of draught horses in place of oxen. Horses are faster than oxen and require less pasture, factors that aided the implementation of the three-field system.",What invention allowed horses rather than oxen to be used to plow?,the horse collar,The invention of the horse collar allowed horses rather than oxen to be used to plow.,based on the context
"Instruction is the facilitation of another's learning. Instructors in primary and secondary institutions are often called teachers, and they direct the education of students and might draw on many subjects like reading, writing, mathematics, science and history. Instructors in post-secondary institutions might be called teachers, instructors, or professors, depending on the type of institution; and they primarily teach only their specific discipline. Studies from the United States suggest that the quality of teachers is the single most important factor affecting student performance, and that countries which score highly on international tests have multiple policies in place to ensure that the teachers they employ are as effective as possible. With the passing of NCLB in the United States (No Child Left Behind), teachers must be highly qualified. A popular way to gauge teaching performance is to use student evaluations of teachers (SETS), but these evaluations have been criticized for being counterproductive to learning and inaccurate due to student bias.",In the United States what is considered the single most important factor in a child's education?,quality of teachers,"In the United States, the quality of teachers is considered the single most important factor affecting student performance.",based on the context
"A dearth of field observations limit our knowledge, but intraspecific conflicts are known to sometimes result in injury or death. The screamers (Anhimidae), some jacanas (Jacana, Hydrophasianus), the spur-winged goose (Plectropterus), the torrent duck (Merganetta) and nine species of lapwing (Vanellus) use a sharp spur on the wing as a weapon. The steamer ducks (Tachyeres), geese and swans (Anserinae), the solitaire (Pezophaps), sheathbills (Chionis), some guans (Crax) and stone curlews (Burhinus) use a bony knob on the alular metacarpal to punch and hammer opponents. The jacanas Actophilornis and Irediparra have an expanded, blade-like radius. The extinct Xenicibis was unique in having an elongate forelimb and massive hand which likely functioned in combat or defence as a jointed club or flail. Swans, for instance, may strike with the bony spurs and bite when defending eggs or young.",What is known to sometimes result in injury or death?,intraspecific conflicts,"Intraspecific conflicts among certain bird species are known to sometimes result in injury or death. These conflicts can involve the use of physical adaptations as weapons, such as sharp spurs on the wings or bony knobs used to punch and hammer opponents.",based on the context
"Kathmandu(/ˌkɑːtmɑːnˈduː/; Nepali pronunciation: [kɑʈʰmɑɳɖu]) is the capital and largest municipality of Nepal. It also hosts the headquarters of the South Asian Association for Regional Cooperation (SAARC). It is the only city of Nepal with the administrative status of Mahanagar (Metropolitan City), as compared to Upa-Mahanagar (Sub-Metropolitan City) or Nagar (City). Kathmandu is the core of Nepal's largest urban agglomeration located in the Kathmandu Valley consisting of Lalitpur, Kirtipur, Madhyapur Thimi, Bhaktapur and a number of smaller communities. Kathmandu is also known informally as ""KTM"" or the ""tri-city"". According to the 2011 census, Kathmandu Metropolitan City has a population of 975,453 and measures 49.45 km2 (19.09 sq mi).",How many square kilometers in size is Kathmandu?,49.45,Kathmandu Metropolitan City measures 49.45 square kilometers.,based on the context
"Eventually resulting in 17 libel writs in total, The Sun ran a series of false stories about the pop musician Elton John from 25 February 1987. They began with an invented account of the singer having sexual relationships with rent boys. The singer-songwriter was abroad on the day indicated in the story, as former Sun journalist John Blake, recently poached by the Daily Mirror, soon discovered. After further stories, in September 1987, The Sun accused John of having his Rottweiler guard dogs voice boxes surgically removed. In November, the Daily Mirror found their rival's only source for the rent boy story and he admitted it was a totally fictitious concoction created for money. The inaccurate story about his dogs, actually Alsatians, put pressure on The Sun, and John received £1 million in an out of court settlement, then the largest damages payment in British history. The Sun ran a front-page apology on 12 December 1988, under the banner headline ""SORRY, ELTON"". In May 1987 gay men were offered free one-way airline tickets to Norway to leave Britain for good: ""Fly Away Gays - And We Will Pay"" was the paper's headline. Gay Church of England clergymen were described in one headline in November 1987 as ""Pulpit poofs"".",What breed of dog did The Sun mistakenly report that Elton John owned?,Rottweiler,"The Sun mistakenly reported that Elton John owned Rottweilers, but he actually had Alsatians.",not based on the context
"In 1870, after France attacked Prussia, Prussia and its new allies in Southern Germany (among them Bavaria) were victorious in the Franco-Prussian War. It created the German Empire in 1871 as a German nation-state, effectively excluding the multi-ethnic Austrian Habsburg monarchy and Liechtenstein. Integrating the Austrians nevertheless remained a strong desire for many people of Germany and Austria, especially among the liberals, the social democrats and also the Catholics who were a minority within the Protestant Germany.",Who won the Franco-Prussian War?,Prussia and its new allies in Southern Germany,Prussia and its allies in Southern Germany were victorious in the Franco-Prussian War.,based on the context
"Specialized comics periodicals formats vary greatly in different cultures. Comic books, primarily an American format, are thin periodicals usually published in colour. European and Japanese comics are frequently serialized in magazines—monthly or weekly in Europe, and usually black-and-white and weekly in Japan. Japanese comics magazine typically run to hundreds of pages.",How long is the typical Japanese comic magazine?,hundreds of pages,A typical Japanese comic magazine usually runs to hundreds of pages.,based on the context
"For air dielectric capacitors the breakdown field strength is of the order 2 to 5 MV/m; for mica the breakdown is 100 to 300 MV/m; for oil, 15 to 25 MV/m; it can be much less when other materials are used for the dielectric. The dielectric is used in very thin layers and so absolute breakdown voltage of capacitors is limited. Typical ratings for capacitors used for general electronics applications range from a few volts to 1 kV. As the voltage increases, the dielectric must be thicker, making high-voltage capacitors larger per capacitance than those rated for lower voltages. The breakdown voltage is critically affected by factors such as the geometry of the capacitor conductive parts; sharp edges or points increase the electric field strength at that point and can lead to a local breakdown. Once this starts to happen, the breakdown quickly tracks through the dielectric until it reaches the opposite plate, leaving carbon behind and causing a short (or relatively low resistance) circuit. The results can be explosive as the short in the capacitor draws current from the surrounding circuitry and dissipates the energy.",In what way is the dielectric used in order to cause the absolute breakdown voltage of capacitors to be limited?,The dielectric is used in very thin layers,"The dielectric in capacitors is used in very thin layers, which limits the absolute breakdown voltage. As the dielectric must be thin to fit within the capacitor's design, it restricts the maximum voltage the capacitor can handle before breakdown occurs. This is because the breakdown voltage is related to the thickness of the dielectric; a thicker dielectric can withstand higher voltages. Therefore, the thin layers of dielectric used in capacitors inherently limit their breakdown voltage.",based on the context
"These types of intermediaries do not host or transmit infringing content, themselves, but may be regarded in some courts as encouraging, enabling or facilitating infringement by users. These intermediaries may include the author, publishers and marketers of peer-to-peer networking software, and the websites that allow users to download such software. In the case of the BitTorrent protocol, intermediaries may include the torrent tracker and any websites or search engines which facilitate access to torrent files. Torrent files don't contain copyrighted content, but they may make reference to files that do, and they may point to trackers which coordinate the sharing of those files. Some torrent indexing and search sites, such as The Pirate Bay, now encourage the use of magnet links, instead of direct links to torrent files, creating another layer of indirection; using such links, torrent files are obtained from other peers, rather than from a particular website.",What is a torrent site that uses magnet links to share peer-to-peer?,The Pirate Bay,The Pirate Bay is a torrent site that encourages the use of magnet links to facilitate peer-to-peer sharing.,based on the context
"Eritrea is a member of the United Nations, the African Union, and is an observing member of the Arab League. The nation holds a seat on the United Nations' Advisory Committee on Administrative and Budgetary Questions (ACABQ). Eritrea also holds memberships in the International Bank for Reconstruction and Development, International Finance Corporation, International Criminal Police Organization (INTERPOL), Non-Aligned Movement, Organization for the Prohibition of Chemical Weapons, Permanent Court of Arbitration, and the World Customs Organization.",Which league is Eritrea an observing member of?,Arab League,Eritrea is an observing member of the Arab League.,based on the context
"Although this period had been productive, the bad weather had such a detrimental effect on Chopin's health that Sand determined to leave the island. To avoid further customs duties, Sand sold the piano to a local French couple, the Canuts.[n 8] The group traveled first to Barcelona, then to Marseilles, where they stayed for a few months while Chopin convalesced. In May 1839 they headed for the summer to Sand's estate at Nohant, where they spent most summers until 1846. In autumn they returned to Paris, where Chopin's apartment at 5 rue Tronchet was close to Sand's rented accommodation at the rue Pigalle. He frequently visited Sand in the evenings, but both retained some independence. In 1842 he and Sand moved to the Square d'Orléans, living in adjacent buildings.",Where was Sand's estate located where they stayed for the summers until 1846?,Nohant,"Sand's estate was located at Nohant, where they spent most summers until 1846.",based on the context
"In 1919, the frustrations caused by delays to Irish home rule led members of Sinn Féin, a pro-independence party that had won a majority of the Irish seats at Westminster in the 1918 British general election, to establish an Irish assembly in Dublin, at which Irish independence was declared. The Irish Republican Army simultaneously began a guerrilla war against the British administration. The Anglo-Irish War ended in 1921 with a stalemate and the signing of the Anglo-Irish Treaty, creating the Irish Free State, a Dominion within the British Empire, with effective internal independence but still constitutionally linked with the British Crown. Northern Ireland, consisting of six of the 32 Irish counties which had been established as a devolved region under the 1920 Government of Ireland Act, immediately exercised its option under the treaty to retain its existing status within the United Kingdom.",How many counties of Ireland are in Northern Ireland?,six,Northern Ireland consists of six of the 32 counties of Ireland.,based on the context
"The HMWSSB regulates rainwater harvesting, sewerage services and water supply, which is sourced from several dams located in the suburbs. In 2005, the HMWSSB started operating a 116-kilometre-long (72 mi) water supply pipeline from Nagarjuna Sagar Dam to meet increasing demand. The Telangana Southern Power Distribution Company Limited manages electricity supply. As of October 2014, there were 15 fire stations in the city, operated by the Telangana State Disaster and Fire Response Department. The government-owned India Post has five head post offices and many sub-post offices in Hyderabad, which are complemented by private courier services.",What dam began to provide water to Hyderabad in 2005?,Nagarjuna Sagar Dam,"In 2005, the Nagarjuna Sagar Dam began to provide water to Hyderabad through a 116-kilometre-long (72 mi) water supply pipeline.",based on the context
"Neoclassical architecture was introduced in Malta in the late 18th century, during the final years of Hospitaller rule. Early examples include the Bibliotheca (1786), the De Rohan Arch (1798) and the Hompesch Gate (1801). However, neoclassical architecture only became popular in Malta following the establishment of British rule in the early 19th century. In 1814, a neoclassical portico decorated with the British coat of arms was added to the Main Guard building so as to serve as a symbol of British Malta. Other 19th century neoclassical buildings include RNH Bighi (1832), St Paul's Pro-Cathedral (1844), the Rotunda of Mosta (1860) and the now destroyed Royal Opera House (1866).",When was Malta introduced to neoclassical architecture?,late 18th century,"Neoclassical architecture was introduced in Malta in the late 18th century, during the final years of Hospitaller rule.",based on the context
"On December 19, 2006, ESPN announced the purchase of a minority stake in the AFL. This deal included television rights for the ESPN family of networks. ESPN would televise a minimum of 17 regular season games, most on Monday nights, and nine playoff games, including ArenaBowl XXI on ABC. The deal resulted in added exposure on ESPN's SportsCenter. However, after the original AFL filed for bankruptcy, this arrangement did not carry over to the new AFL, which is a separate legal entity.",What network broadcast ArenaBowl XXI?,ABC,ArenaBowl XXI was broadcast on ABC.,based on the context
"Qur'anic schools (also known as dugsi) remain the basic system of traditional religious instruction in Somalia. They provide Islamic education for children, thereby filling a clear religious and social role in the country. Known as the most stable local, non-formal system of education providing basic religious and moral instruction, their strength rests on community support and their use of locally made and widely available teaching materials. The Qur'anic system, which teaches the greatest number of students relative to other educational sub-sectors, is oftentimes the only system accessible to Somalis in nomadic as compared to urban areas. A study from 1993 found, among other things, that ""unlike in primary schools where gender disparity is enormous, around 40 per cent of Qur'anic school pupils are girls; but the teaching staff have minimum or no qualification necessary to ensure intellectual development of children."" To address these concerns, the Somali government on its own part subsequently established the Ministry of Endowment and Islamic Affairs, under which Qur'anic education is now regulated.",What is another name for a Qur'anic school?,dugsi,"Another name for a Qur'anic school is ""dugsi.""",based on the context
"According to the official Twenty-Four Histories, the History of Ming compiled in 1739 by the subsequent Qing dynasty (1644–1912), the Ming dynasty established the ""É-Lì-Sī Army-Civilian Marshal Office"" (Chinese: 俄力思軍民元帥府) in western Tibet and installed the ""Ü-Tsang Itinerant High Commandery"" and ""Amdo-Kham Itinerant High Commandery"" to administer Kham. The Mingshi states that administrative offices were set up under these high commanderies, including one Itinerant Commandery, three Pacification Commissioner's Offices, six Expedition Commissioner's Offices, four Wanhu offices (myriarchies, in command of 10,000 households each) and seventeen Qianhu offices (chiliarchies, each in command of 1,000 households).",What years did the Qing dynasty rule?,1644–1912,The Qing dynasty ruled from 1644 to 1912.,based on the context
"Internally, a regional lockout chip (CIC) within the console and in each cartridge prevents PAL region games from being played on Japanese or North American consoles and vice versa. The Japanese and North American machines have the same region chip. This can be overcome through the use of adapters, typically by inserting the imported cartridge in one slot and a cartridge with the correct region chip in a second slot. Alternatively, disconnecting one pin of the console's lockout chip will prevent it from locking the console; hardware in later games can detect this situation, so it later became common to install a switch to reconnect the lockout chip as needed.",How was hardware modification used to get around PAL region restrictions?,disconnecting one pin of the console's lockout chip,"Hardware modification to get around PAL region restrictions involved either using adapters or altering the console's lockout chip. Adapters typically required inserting the imported cartridge in one slot and a cartridge with the correct region chip in a second slot. Alternatively, disconnecting one pin of the console's lockout chip would prevent it from locking the console. However, since later games could detect this modification, it became common to install a switch to reconnect the lockout chip as needed.",based on the context
"After 92 AD, the palace eunuchs increasingly involved themselves in court politics, engaging in violent power struggles between the various consort clans of the empresses and empress dowagers, causing the Han's ultimate downfall. Imperial authority was also seriously challenged by large Daoist religious societies which instigated the Yellow Turban Rebellion and the Five Pecks of Rice Rebellion. Following the death of Emperor Ling (r. 168–189 AD), the palace eunuchs suffered wholesale massacre by military officers, allowing members of the aristocracy and military governors to become warlords and divide the empire. When Cao Pi, King of Wei, usurped the throne from Emperor Xian, the Han dynasty ceased to exist.",Who was the last Emperor of the Han dynasty?,Xian,The last emperor of the Han dynasty was Emperor Xian.,based on the context
"The evolution of the Greek economy during the 19th century (a period that transformed a large part of the world because of the Industrial Revolution) has been little researched. Recent research from 2006 examines the gradual development of industry and further development of shipping in a predominantly agricultural economy, calculating an average rate of per capita GDP growth between 1833 and 1911 that was only slightly lower than that of the other Western European nations. Industrial activity, (including heavy industry like shipbuilding) was evident, mainly in Ermoupolis and Piraeus. Nonetheless, Greece faced economic hardships and defaulted on its external loans in 1826, 1843, 1860 and 1894.","What did Greece do in 1826, 1843, 1860 and 1894?",defaulted on its external loans,"Greece defaulted on its external loans in 1826, 1843, 1860, and 1894.",based on the context
"Several dozen radioisotopes have been characterized. 65Zn, which has a half-life of 243.66 days, is the most long-lived radioisotope, followed by 72Zn with a half-life of 46.5 hours. Zinc has 10 nuclear isomers. 69mZn has the longest half-life, 13.76 h. The superscript m indicates a metastable isotope. The nucleus of a metastable isotope is in an excited state and will return to the ground state by emitting a photon in the form of a gamma ray. 61Zn has three excited states and 73Zn has two. The isotopes 65Zn, 71Zn, 77Zn and 78Zn each have only one excited state.",What does a metastable isotope do to return to ground state from an excited state?,emitting a photon in the form of a gamma ray,A metastable isotope returns to its ground state from an excited state by emitting a photon in the form of a gamma ray.,based on the context
"A further complication is that the measurement of γ′p involves the measurement of an electric current: this is invariably measured in conventional amperes rather than in SI amperes, so a conversion factor is required. The symbol Γ′p-90 is used for the measured gyromagnetic ratio using conventional electrical units. In addition, there are two methods of measuring the value, a ""low-field"" method and a ""high-field"" method, and the conversion factors are different in the two cases. Only the high-field value Γ′p-90(hi) is of interest in determining the Planck constant.",How many methods of measuring the gyromagnetic ratio are there?,there are two methods of measuring the value,"There are two methods of measuring the gyromagnetic ratio: a ""low-field"" method and a ""high-field"" method.",based on the context
"The Macintosh project was begun in 1979 by Jef Raskin, an Apple employee who envisioned an easy-to-use, low-cost computer for the average consumer. He wanted to name the computer after his favorite type of apple, the McIntosh, but the spelling was changed to ""Macintosh"" for legal reasons as the original was the same spelling as that used by McIntosh Laboratory, Inc., the audio equipment manufacturer. Steve Jobs requested that McIntosh Laboratory give Apple a release for the name with its changed spelling so that Apple could use it, but the request was denied, forcing Apple to eventually buy the rights to use the name. (A 1984 Byte Magazine article suggested Apple changed the spelling only after ""early users"" misspelled ""McIntosh"". However, Jef Raskin had adopted the Macintosh spelling by 1981, when the Macintosh computer was still a single prototype machine in the lab. This explanation further clashes with the first explanation given above that the change was made for ""legal reasons."")",Why was the spelling of McIntosh changed to Macintosh?,for legal reasons,"The spelling of ""McIntosh"" was changed to ""Macintosh"" for legal reasons. The original spelling was the same as that used by McIntosh Laboratory, Inc., an audio equipment manufacturer. Steve Jobs requested a release for the name with its changed spelling from McIntosh Laboratory, but the request was denied, forcing Apple to eventually buy the rights to use the name.",based on the context
"After 1937 the Lord Mayor and the state commissioners of Hanover were members of the NSDAP (Nazi party). A large Jewish population then existed in Hanover. In October 1938, 484 Hanoverian Jews of Polish origin were expelled to Poland, including the Grynszpan family. However, Poland refused to accept them, leaving them stranded at the border with thousands of other Polish-Jewish deportees, fed only intermittently by the Polish Red Cross and Jewish welfare organisations. The Gryszpan's son Herschel Grynszpan was in Paris at the time. When he learned of what was happening, he drove to the German embassy in Paris and shot the German diplomat Eduard Ernst vom Rath, who died shortly afterwards.",How many Hanoverian Jews were expelled in 1938?,484,"In October 1938, 484 Hanoverian Jews of Polish origin were expelled.",based on the context
"The West Campus is located about one mile (1.6 km) to the west of the Danforth Campus in Clayton, Missouri, and primarily consists of a four-story former department store building housing mostly administrative space. The West Campus building was home to the Clayton branch of the Famous-Barr department store until 1990, when the University acquired the property and adjacent parking and began a series of renovations. Today, the basement level houses the West Campus Library, the University Archives, the Modern Graphic History Library, and conference space. The ground level still remains a retail space. The upper floors house consolidated capital gifts, portions of alumni and development, and information systems offices from across the Danforth and Medical School campuses. There is also a music rehearsal room on the second floor. The West Campus is also home to the Center for the Application of Information Technologies (CAIT), which provides IT training services.",What is located in the basement level of the West Campus? ,"the West Campus Library, the University Archives, the Modern Graphic History Library, and conference space","The basement level of the West Campus houses the West Campus Library, the University Archives, the Modern Graphic History Library, and conference space.",based on the context
"Plymouth is the regional television centre of BBC South West. A team of journalists are headquartered at Plymouth for the ITV West Country regional station, after a merger with ITV West forced ITV Westcountry to close on 16 February 2009. The main local newspapers serving Plymouth are The Herald and Western Morning News with Radio Plymouth , BBC Radio Devon, Heart South West , and Pirate FM being the main local radio stations.",On what date did ITV Westcountry cease to operate?,16 February 2009,ITV Westcountry ceased to operate on 16 February 2009.,based on the context
"According to Y chromosome studies by Sanchez et al. (2005), Cruciani et al. (2004, 2007), the Somalis are paternally closely related to other Afro-Asiatic-speaking groups in Northeast Africa. Besides comprising the majority of the Y-DNA in Somalis, the E1b1b1a (formerly E3b1a) haplogroup also makes up a significant proportion of the paternal DNA of Ethiopians, Sudanese, Egyptians, Berbers, North African Arabs, as well as many Mediterranean populations. Sanchez et al. (2005) observed the M78 subclade of E1b1b in about 77% of their Somali male samples. According to Cruciani et al. (2007), the presence of this subhaplogroup in the Horn region may represent the traces of an ancient migration from Egypt/Libya. After haplogroup E1b1b, the second most frequently occurring Y-DNA haplogroup among Somalis is the West Asian haplogroup T (M70). It is observed in slightly more than 10% of Somali males. Haplogroup T, like haplogroup E1b1b, is also typically found among populations of Northeast Africa, North Africa, the Near East and the Mediterranean.",In what year did Sanchez publish his study on Somali ethnicity?,2005,Sanchez et al. published their study on Somali ethnicity in 2005.,based on the context
Later interpretations of Avicenna's philosophy split into three different schools; those (such as al-Tusi) who continued to apply his philosophy as a system to interpret later political events and scientific advances; those (such as al-Razi) who considered Avicenna's theological works in isolation from his wider philosophical concerns; and those (such as al-Ghazali) who selectively used parts of his philosophy to support their own attempts to gain greater spiritual insights through a variety of mystical means. It was the theological interpretation championed by those such as al-Razi which eventually came to predominate in the madrasahs.,Which interpretation of Avicenna's work was more taught in Islamic schools?,al-Razi,"The theological interpretation of Avicenna's work, championed by figures such as al-Razi, was the one that eventually came to predominate in the madrasahs (Islamic religious schools).",based on the context
"In 1839, Melbourne resigned after Radicals and Tories (both of whom Victoria detested) voted against a bill to suspend the constitution of Jamaica. The bill removed political power from plantation owners who were resisting measures associated with the abolition of slavery. The Queen commissioned a Tory, Sir Robert Peel, to form a new ministry. At the time, it was customary for the prime minister to appoint members of the Royal Household, who were usually his political allies and their spouses. Many of the Queen's ladies of the bedchamber were wives of Whigs, and Peel expected to replace them with wives of Tories. In what became known as the bedchamber crisis, Victoria, advised by Melbourne, objected to their removal. Peel refused to govern under the restrictions imposed by the Queen, and consequently resigned his commission, allowing Melbourne to return to office.",The removal of the Queens bedchamber ladies became known as what?,the bedchamber crisis,"The removal of the Queen's bedchamber ladies became known as the ""bedchamber crisis.""",based on the context
