context,question,answer,gpt4o_answer
"Several campus safety strategies have been pioneered at Yale. The first campus police force was founded at Yale in 1894, when the university contracted city police officers to exclusively cover the campus. Later hired by the university, the officers were originally brought in to quell unrest between students and city residents and curb destructive student behavior. In addition to the Yale Police Department, a variety of safety services are available including blue phones, a safety escort, and 24-hour shuttle service.",Why was the campus police established?,quell unrest between students and city residents,The campus police were established to quell unrest between students and city residents and curb destructive student behavior.
"The Qing dynasty (1644–1911) was founded after the fall of the Ming, the last Han Chinese dynasty, by the Manchus. The Manchus were formerly known as the Jurchens. When Beijing was captured by Li Zicheng's peasant rebels in 1644, the Chongzhen Emperor, the last Ming emperor, committed suicide. The Manchus then allied with former Ming general Wu Sangui and seized control of Beijing, which became the new capital of the Qing dynasty. The Mancus adopted the Confucian norms of traditional Chinese government in their rule of China proper. Schoppa, the editor of The Columbia Guide to Modern Chinese History argues, ""A date around 1780 as the beginning of modern China is thus closer to what we know today as historical 'reality'. It also allows us to have a better baseline to understand the precipitous decline of the Chinese polity in the nineteenth and twentieth centuries.""",The Qing dynasty formed after what event?,after the fall of the Ming,"The Qing dynasty formed after the fall of the Ming dynasty, which occurred when Beijing was captured by Li Zicheng's peasant rebels in 1644, leading to the suicide of the Chongzhen Emperor, the last Ming emperor."
"Currently, international agreements are executed by executive agreement rather than treaties at a rate of 10:1. Despite the relative ease of executive agreements, the President still often chooses to pursue the formal treaty process over an executive agreement in order to gain congressional support on matters that require the Congress to pass implementing legislation or appropriate funds, and those agreements that impose long-term, complex legal obligations on the United States. For example, the deal by the United States, Iran and other countries is not a Treaty.",What is it about the approval process of executive agreements might lead a US president to prefer them over treaties?,the relative ease,I don’t know.
"Prince Hall Freemasonry exists because of the refusal of early American lodges to admit African-Americans. In 1775, an African-American named Prince Hall, along with fourteen other African-Americans, was initiated into a British military lodge with a warrant from the Grand Lodge of Ireland, having failed to obtain admission from the other lodges in Boston. When the military Lodge left North America, those fifteen men were given the authority to meet as a Lodge, but not to initiate Masons. In 1784, these individuals obtained a Warrant from the Premier Grand Lodge of England (GLE) and formed African Lodge, Number 459. When the UGLE was formed in 1813, all U.S.-based Lodges were stricken from their rolls – due largely to the War of 1812. Thus, separated from both UGLE and any concordantly recognised U.S. Grand Lodge, African Lodge re-titled itself as the African Lodge, Number 1 – and became a de facto ""Grand Lodge"" (this Lodge is not to be confused with the various Grand Lodges on the Continent of Africa). As with the rest of U.S. Freemasonry, Prince Hall Freemasonry soon grew and organised on a Grand Lodge system for each state.","What was Africian Lodge, Number 1 considered after they changed from Africian Lodge, Number 459?","became a de facto ""Grand Lodge""","African Lodge, Number 1 was considered a de facto ""Grand Lodge"" after they changed from African Lodge, Number 459."
"New York City's public bus fleet is the largest in North America, and the Port Authority Bus Terminal, the main intercity bus terminal of the city, serves 7,000 buses and 200,000 commuters daily, making it the busiest bus station in the world.",The busiest bus station in the world in the world is called what?,Port Authority Bus Terminal,The busiest bus station in the world is called the Port Authority Bus Terminal.
"Another deck structure that can be seen is a ski-jump ramp at the forward end of the flight deck. This was first developed to help launch STOVL aircraft take off at far higher weights than is possible with a vertical or rolling takeoff on flat decks. Originally developed by the Royal Navy, it since has been adopted by many navies for smaller carriers. A ski-jump ramp works by converting some of the forward rolling movement of the aircraft into vertical velocity and is sometimes combined with the aiming of jet thrust partly downwards. This allows heavily loaded and fueled aircraft a few more precious seconds to attain sufficient air velocity and lift to sustain normal flight. Without a ski-jump launching fully loaded and fueled aircraft such as the Harrier would not be possible on a smaller flat deck ship before either stalling out or crashing directly into the sea.",What did ski-jump ramps allow STOVL aircraft to do that they couldn't do with a flat deck??,take off at far higher weights,Ski-jump ramps allowed STOVL aircraft to take off at far higher weights than is possible with a vertical or rolling takeoff on flat decks.
"In previous times, at the consistory at which the pope named a new cardinal, he would bestow upon him a distinctive wide-brimmed hat called a galero. This custom was discontinued in 1969 and the investiture now takes place with the scarlet biretta. In ecclesiastical heraldry, however, the scarlet galero is still displayed on the cardinal's coat of arms. Cardinals had the right to display the galero in their cathedral, and when a cardinal died, it would be suspended from the ceiling above his tomb. Some cardinals will still have a galero made, even though it is not officially part of their apparel.[citation needed]",In what year did the practice of donning this item stop?,1969,The practice of donning the galero stopped in 1969.
"In Arabia, Bahrain, which was referred to by the Greeks as Tylos, the centre of pearl trading, when Nearchus came to discover it serving under Alexander the Great. The Greek admiral Nearchus is believed to have been the first of Alexander's commanders to visit these islands. It is not known whether Bahrain was part of the Seleucid Empire, although the archaeological site at Qalat Al Bahrain has been proposed as a Seleucid base in the Persian Gulf. Alexander had planned to settle the eastern shores of the Persian Gulf with Greek colonists, and although it is not clear that this happened on the scale he envisaged, Tylos was very much part of the Hellenised world: the language of the upper classes was Greek (although Aramaic was in everyday use), while Zeus was worshipped in the form of the Arabian sun-god Shams. Tylos even became the site of Greek athletic contests.",Tylos worshipped Zeus in the form of what Arabian sun-god?,Shams,Tylos worshipped Zeus in the form of the Arabian sun-god Shams.
"Many globally popular sports had modern rules codified in the British Isles, including golf, association football, cricket, rugby, snooker and darts, as well as many minor sports such as croquet, bowls, pitch and putt, water polo and handball. A number of sports are popular throughout the British Isles, the most prominent of which is association football. While this is organised separately in different national associations, leagues and national teams, even within the UK, it is a common passion in all parts of the islands. Rugby union is also widely enjoyed across the islands with four national teams from England, Ireland, Scotland and Wales. The British and Irish Lions is a team chosen from each national team and undertakes tours of the southern hemisphere rugby playing nations every four years. Ireland play as a united team, represented by players from both Northern Ireland and the Republic. These national rugby teams play each other each year for the Triple Crown as part of the Six Nations Championship. Also since 2001 the professional club teams of Ireland, Scotland, Wales and Italy compete against each other in the RaboDirect Pro12.",In which hemisphere do the rugby playing countries meet once every four years?,southern hemisphere,The southern hemisphere.
"Sixty-two percent of islanders are Christians. After the death of the first chaplain Rev G. H. Nobbs in 1884, a Methodist church was formed and in 1891 a Seventh-day Adventist congregation led by one of Nobbs' sons. Some unhappiness with G. H. Nobbs, the more organised and formal ritual of the Church of England service arising from the influence of the Melanesian Mission, decline in spirituality, the influence of visiting American whalers, literature sent by Christians overseas impressed by the Pitcairn story, and the adoption of Seventh-day Adventism by the descendants of the mutineers still on Pitcairn, all contributed to these developments. The Roman Catholic Church began work in 1957 and in the late 1990s a group left the former Methodist (then Uniting Church) and formed a charismatic fellowship. In 2011, 34 percent of the ordinary residents identified as Anglican, 13 percent as Uniting Church, 12 percent as Roman Catholic and three percent as Seventh-day Adventist. Nine percent were from other religions. Twenty four percent had no religion, and seven percent did not indicate a religion. Typical ordinary congregations in any church do not exceed 30 local residents as of 2010[update]. The three older denominations have good facilities. Ministers are usually short-term visitors.",Who led Norfolk Island's first Seventh-day Adventist church? ,one of Nobbs' sons,One of Rev G. H. Nobbs' sons led Norfolk Island's first Seventh-day Adventist church.
"At the same time, British, French, and Soviet negotiators scheduled three-party talks on military matters to occur in Moscow in August 1939, aiming to define what the agreement would specify should be the reaction of the three powers to a German attack. The tripartite military talks, started in mid-August, hit a sticking point regarding the passage of Soviet troops through Poland if Germans attacked, and the parties waited as British and French officials overseas pressured Polish officials to agree to such terms. Polish officials refused to allow Soviet troops into Polish territory if Germany attacked; as Polish foreign minister Józef Beck pointed out, they feared that once the Red Army entered their territories, it might never leave.",Who did not want their country protected by the Soviet military?,Poland,Polish officials did not want their country protected by the Soviet military.
"The redevelopment of the city was planned by Sir Patrick Abercrombie in his 1943 Plan for Plymouth whilst simultaneously working on the reconstruction plan for London. Between 1951 and 1957 over 1000 homes were completed every year mostly using innovative prefabricated systems of just three main types; by 1964 over 20,000 new homes had been built transforming the dense overcrowded and unsanitary slums of the pre-war city into a low density, dispersed suburbia. Most of the city centre shops had been destroyed and those that remained were cleared to enable a zoned reconstruction according to his plan. In 1962 the modernist high rise of the Civic Centre was constructed, an architecturally significant example of mid twentieth century civic slab-and-tower set piece allowed to fall into disrepair by its owner Plymouth City Council but recently grade II listed by English Heritage to prevent its demolition.","In the period 1951-1957, how many new houses were constructed yearly in Plymouth?",over 1000,"Over 1,000 homes were completed every year in Plymouth between 1951 and 1957."
"Separation of powers is a political doctrine originating in the writings of Montesquieu in The Spirit of the Laws where he urged for a constitutional government with three separate branches of government. Each of the three branches would have defined abilities to check the powers of the other branches. This idea was called separation of powers. This philosophy heavily influenced the writing of the United States Constitution, according to which the Legislative, Executive, and Judicial branches of the United States government are kept distinct in order to prevent abuse of power. This United States form of separation of powers is associated with a system of checks and balances.",What kind of oversight does the separation of powers help to promote?,checks and balances,The separation of powers helps to promote a system of checks and balances.
"In the autumn of 1913, he was conscripted into the Austro-Hungarian Army. He was sent to a school for non-commissioned officers and became a sergeant, serving in the 25th Croatian Regiment based in Zagreb. In May 1914, Broz won a silver medal at an army fencing competition in Budapest. At the outbreak of World War I in 1914, he was sent to Ruma, where he was arrested for anti-war propaganda and imprisoned in the Petrovaradin fortress. In January 1915, he was sent to the Eastern Front in Galicia to fight against Russia. He distinguished himself as a capable soldier, becoming the youngest Sergeant Major in the Austro-Hungarian Army. For his bravery in the face of the enemy, he was recommended for the Silver Bravery Medal but was taken prisoner of war before it could be formally presented. On 25 March 1915, while in Bukovina, he was seriously wounded and captured by the Russians.",What competition did he win a silver medal in?,fencing,He won a silver medal at an army fencing competition in Budapest.
"The following week, John Edwards won the South Carolina primary and finished a strong second in Oklahoma to Clark. Lieberman dropped out of the campaign the following day. Kerry dominated throughout February and his support quickly snowballed as he won caucuses and primaries, taking in a string of wins in Michigan, Washington, Maine, Tennessee, Washington, D.C., Nevada, Wisconsin, Utah, Hawaii, and Idaho. Clark and Dean dropped out during this time, leaving Edwards as the only real threat to Kerry. Kucinich and Sharpton continued to run despite poor results at the polls.","After Clark and Dean dropped out, which candidate was considered to be the only real contender against Kerry?",Edwards,Edwards was considered to be the only real contender against Kerry after Clark and Dean dropped out.
"Although STOVL aircraft are capable of taking off vertically from a spot on the deck, using the ramp and a running start is far more fuel efficient and permits a heavier launch weight. As catapults are unnecessary, carriers with this arrangement reduce weight, complexity, and space needed for complex steam or electromagnetic launching equipment, vertical landing aircraft also remove the need for arresting cables and related hardware. Russian, Chinese, and future Indian carriers include a ski-jump ramp for launching lightly loaded conventional fighter aircraft but recover using traditional carrier arresting cables and a tailhook on their aircraft.",What kind of aircraft are capable of taking off vertically?,STOVL,STOVL aircraft are capable of taking off vertically.
"The Hanover Zoo is one of the most spectacular and best zoos in Europe. The zoo received the Park Scout Award for the fourth year running in 2009/10, placing it among the best zoos in Germany. The zoo consists of several theme areas: Sambesi, Meyers Farm, Gorilla-Mountain, Jungle-Palace, and Mullewapp. Some smaller areas are Australia, the wooded area for wolves, and the so-called swimming area with many seabirds. There is also a tropical house, a jungle house, and a show arena. The new Canadian-themed area, Yukon Bay, opened in 2010. In 2010 the Hanover Zoo had over 1.6 million visitors.",How many people visited the Hanover Zoo in 2010?,1.6 million,1.6 million people visited the Hanover Zoo in 2010.
"In 2003 the paper was accused of racism by the Government over its criticisms of what it perceived as the ""open door"" policy on immigration. The attacks came from the Prime Minister's press spokesman Alastair Campbell and the Home Secretary David Blunkett (later a Sun columnist). The paper rebutted the claim, believing that it was not racist to suggest that a ""tide"" of unchecked illegal immigrants was increasing the risk of terrorist attacks and infectious diseases. It did not help its argument by publishing a front page story on 4 July 2003, under the headline ""Swan Bake"", which claimed that asylum seekers were slaughtering and eating swans. It later proved to have no basis in fact. Subsequently The Sun published a follow-up headlined ""Now they're after our fish!"". Following a Press Complaints Commission adjudication a ""clarification"" was eventually printed, on page 41. In 2005 The Sun published photographs of Prince Harry sporting a Nazi costume to a fancy dress party. The photographs caused outrage across the world and Clarence House was forced to issue a statement in response apologising for any offence or embarrassment caused.",What allegation did the government level against The Sun in 2003?,racism,"The government accused The Sun of racism in 2003 over its criticisms of what it perceived as the ""open door"" policy on immigration."
"These territories are sometimes referred to as the Països Catalans (Catalan Countries), a denomination based on cultural affinity and common heritage, that has also had a subsequent political interpretation but no official status. Various interpretations of the term may include some or all of these regions.",What are the Paisos Catalans,Catalan Countries,"The Països Catalans (Catalan Countries) are territories referred to based on cultural affinity and common heritage, though the term has no official status. Various interpretations of the term may include some or all of these regions."
"Central Catalan has abandoned almost completely unstressed possessives (mon, etc.) in favour of constructions of article + stressed forms (el meu, etc.), a feature shared with Italian.",What is an example of an article +stressed forms?,el meu,"An example of an article + stressed form is ""el meu."""
"Mexico City, or the City of Mexico (Spanish: Ciudad de México  audio (help·info) American Spanish: [sjuˈða(ð) ðe ˈméxiko]; abbreviated as ""CDMX""), is the capital of Mexico. As an ""alpha"" global city, Mexico City is one of the most important financial centers in the Americas. It is located in the Valley of Mexico (Valle de México), a large valley in the high plateaus at the center of Mexico, at an altitude of 2,240 metres (7,350 ft). The city consists of sixteen municipalities (previously called boroughs).",What did they used to call the municipalities within Mexico City?,boroughs,I don’t know.
"The editor, Larry Lamb, was originally from a Labour background, with a socialist upbringing while his temporary replacement Bernard Shrimsley (1972–75) was a middle-class uncommitted Conservative. An extensive advertising campaign on the ITV network in this period, voiced by actor Christopher Timothy, may have helped The Sun to overtake the Daily Mirror's circulation in 1978. Despite the industrial relations of the 1970s – the so-called ""Spanish practices"" of the print unions – The Sun was very profitable, enabling Murdoch to expand his operations to the United States from 1973.",What was Shrimsley's political background?,middle-class uncommitted Conservative.,I don’t know.
"On 25 May 2011 the Swiss government announced that it plans to end its use of nuclear energy in the next 2 or 3 decades. ""The government has voted for a phaseout because we want to ensure a secure and autonomous supply of energy"", Energy Minister Doris Leuthard said that day at a press conference in Bern. ""Fukushima showed that the risk of nuclear power is too high, which in turn has also increased the costs of this energy form."" The first reactor would reportedly be taken offline in 2019 and the last one in 2034. Parliament will discuss the plan in June 2011, and there could be a referendum as well.",When is Switzerland's first nuclear reactor scheduled to be taken offline?,2019,The first nuclear reactor in Switzerland is scheduled to be taken offline in 2019.
"Victoria married her first cousin, Prince Albert of Saxe-Coburg and Gotha, in 1840. Their nine children married into royal and noble families across the continent, tying them together and earning her the sobriquet ""the grandmother of Europe"". After Albert's death in 1861, Victoria plunged into deep mourning and avoided public appearances. As a result of her seclusion, republicanism temporarily gained strength, but in the latter half of her reign her popularity recovered. Her Golden and Diamond Jubilees were times of public celebration.",What was Victoria's unofficial title?,the grandmother of Europe,"""The grandmother of Europe"""
"In the 1874 general election, Disraeli was returned to power. He passed the Public Worship Regulation Act 1874, which removed Catholic rituals from the Anglican liturgy and which Victoria strongly supported. She preferred short, simple services, and personally considered herself more aligned with the presbyterian Church of Scotland than the episcopal Church of England. He also pushed the Royal Titles Act 1876 through Parliament, so that Victoria took the title ""Empress of India"" from 1 May 1876. The new title was proclaimed at the Delhi Durbar of 1 January 1877.",What year was the Public Worship Regulation Act passed?,1874,The Public Worship Regulation Act was passed in 1874.
"The causes of World War I included many factors, including the conflicts and antagonisms of the four decades leading up to the war. The Triple Entente was the name given to the loose alignment between the United Kingdom, France, and Russia after the signing of the Anglo-Russian Entente in 1907. The alignment of the three powers, supplemented by various agreements with Japan, the United States, and Spain, constituted a powerful counterweight to the Triple Alliance of Germany, Austria-Hungary, and Italy, the third having concluded an additional secret agreement with France effectively nullifying her Alliance commitments. Militarism, alliances, imperialism, and nationalism played major roles in the conflict. The immediate origins of the war lay in the decisions taken by statesmen and generals during the July Crisis of 1914, the spark (or casus belli) for which was the assassination of Archduke Franz Ferdinand of Austria.",What was the origin of the war?,the decisions taken by statesmen and generals during the July Crisis of 1914,"The immediate origins of the war lay in the decisions taken by statesmen and generals during the July Crisis of 1914, with the spark (or casus belli) being the assassination of Archduke Franz Ferdinand of Austria."
"Uranium is used as a colorant in uranium glass producing orange-red to lemon yellow hues. It was also used for tinting and shading in early photography. The 1789 discovery of uranium in the mineral pitchblende is credited to Martin Heinrich Klaproth, who named the new element after the planet Uranus. Eugène-Melchior Péligot was the first person to isolate the metal and its radioactive properties were discovered in 1896 by Henri Becquerel. Research by Otto Hahn, Lise Meitner, Enrico Fermi and others, such as J. Robert Oppenheimer starting in 1934 led to its use as a fuel in the nuclear power industry and in Little Boy, the first nuclear weapon used in war. An ensuing arms race during the Cold War between the United States and the Soviet Union produced tens of thousands of nuclear weapons that used uranium metal and uranium-derived plutonium-239. The security of those weapons and their fissile material following the breakup of the Soviet Union in 1991 is an ongoing concern for public health and safety. See Nuclear proliferation.","Along with lemon yellow, what color is produced in uranium glass?",orange-red,Orange-red.
"During the Gilded Age, there was substantial growth in population in the United States and extravagant displays of wealth and excess of America's upper-class during the post-Civil War and post-Reconstruction era, in the late 19th century. The wealth polarization derived primarily from industrial and population expansion. The businessmen of the Second Industrial Revolution created industrial towns and cities in the Northeast with new factories, and contributed to the creation of an ethnically diverse industrial working class which produced the wealth owned by rising super-rich industrialists and financiers called the ""robber barons"". An example is the company of John D. Rockefeller, who was an important figure in shaping the new oil industry. Using highly effective tactics and aggressive practices, later widely criticized, Standard Oil absorbed or destroyed most of its competition.",Where did the wealth of the Glided Age come form?,industrial and population expansion.,The wealth of the Gilded Age came primarily from industrial and population expansion.
"During childhood, siblings are a source of conflict and frustration as well as a support system. Adolescence may affect this relationship differently, depending on sibling gender. In same-sex sibling pairs, intimacy increases during early adolescence, then remains stable. Mixed-sex siblings pairs act differently; siblings drift apart during early adolescent years, but experience an increase in intimacy starting at middle adolescence. Sibling interactions are children's first relational experiences, the ones that shape their social and self-understanding for life. Sustaining positive sibling relations can assist adolescents in a number of ways. Siblings are able to act as peers, and may increase one another's sociability and feelings of self-worth. Older siblings can give guidance to younger siblings, although the impact of this can be either positive or negative depending on the activity of the older sibling.",Does intimacy between same-sex siblings increase or decrease during adolescence?,increases,Intimacy between same-sex siblings increases during early adolescence and then remains stable.
"Species that have no long-distance migratory relatives, such as the waxwings Bombycilla, are effectively moving in response to winter weather and the loss of their usual winter food, rather than enhanced breeding opportunities.",What are the waxwings Bombycilla moving in response to?,winter weather and the loss of their usual winter food,The waxwings Bombycilla are moving in response to winter weather and the loss of their usual winter food.
"The United States Congress declared war on Mexico on May 13, 1846 after only having a few hours to debate. Although President José Mariano Paredes's issuance of a manifesto on May 23 is sometimes considered the declaration of war, Mexico officially declared war by Congress on July 7. After the American invasion of New Mexico, Chihuahua sent 12,000 men led by Colonel Vidal to the border to stop the American military advance into the state. The Mexican forces being impatient to confront the American forces passed beyond El Paso del Norte about 20 miles (32 km) north along the Rio Grande. The first battle that Chihuahua fought was the battle of El Bracito; the Mexican forces consisting of 500 cavalry and 70 infantry confronted a force of 1,100–1,200 Americans on December 25, 1846. The battle ended badly by the Mexican forces that were then forced to retreat back into the state of Chihuahua. By December 27, 1846, the American forces occupied El Paso Del Norte. General Doniphan maintained camp in El Paso Del Norte awaiting supplies and artillery which he received in February 1847.",Who won the battle?,The United States,The American forces won the battle of El Bracito.
"Some hunter-gatherer cultures, such as the indigenous peoples of the Pacific Northwest Coast, lived in particularly rich environments that allowed them to be sedentary or semi-sedentary.",What is the life style of the indigenous people of the Pacific Northwest?,hunter-gatherer,The indigenous peoples of the Pacific Northwest Coast lived in particularly rich environments that allowed them to be sedentary or semi-sedentary.
"Increased interest in modern a cappella (particularly collegiate a cappella) can be seen in the growth of awards such as the Contemporary A Cappella Recording Awards (overseen by the Contemporary A Cappella Society) and competitions such as the International Championship of Collegiate A Cappella for college groups and the Harmony Sweepstakes for all groups. In December 2009, a new television competition series called The Sing-Off aired on NBC. The show featured eight a cappella groups from the United States and Puerto Rico vying for the prize of $100,000 and a recording contract with Epic Records/Sony Music. The show was judged by Ben Folds, Shawn Stockman, and Nicole Scherzinger and was won by an all-male group from Puerto Rico called Nota. The show returned for a second and third season, won by Committed and Pentatonix, respectively.",What popular a capella competition is not specific to college groups?,Harmony Sweepstakes,The Harmony Sweepstakes is a popular a cappella competition that is not specific to college groups.
"The epidermis is typically 10 to 30 cells thick; its main function is to provide a waterproof layer. Its outermost cells are constantly lost; its bottommost cells are constantly dividing and pushing upward. The middle layer, the dermis, is 15 to 40 times thicker than the epidermis. The dermis is made up of many components, such as bony structures and blood vessels. The hypodermis is made up of adipose tissue. Its job is to store lipids, and to provide cushioning and insulation. The thickness of this layer varies widely from species to species.",What is the typical thickness of the epidermis?,10 to 30 cells thick,The epidermis is typically 10 to 30 cells thick.
"Spring 1989 saw the people of the Soviet Union exercising a democratic choice, albeit limited, for the first time since 1917, when they elected the new Congress of People's Deputies. Just as important was the uncensored live TV coverage of the legislature's deliberations, where people witnessed the previously feared Communist leadership being questioned and held accountable. This example fueled a limited experiment with democracy in Poland, which quickly led to the toppling of the Communist government in Warsaw that summer – which in turn sparked uprisings that overthrew communism in the other five Warsaw Pact countries before the end of 1989, the year the Berlin Wall fell. These events showed that the people of Eastern Europe and the Soviet Union did not support Gorbachev's drive to modernize Communism; rather, they preferred to abandon it altogether.",Where was the Communist government overthrown first?,Warsaw,I don’t know.
"There are also parks on two major islands in the river: Belle Isle and Brown's Island. Belle Isle, at various former times a Powhatan fishing village, colonial-era horse race track, and Civil War prison camp, is the larger of the two, and contains many bike trails as well as a small cliff that is used for rock climbing instruction. One can walk the island and still see many of the remains of the Civil War prison camp, such as an arms storage room and a gun emplacement that was used to quell prisoner riots. Brown's Island is a smaller island and a popular venue of a large number of free outdoor concerts and festivals in the spring and summer, such as the weekly Friday Cheers concert series or the James River Beer and Seafood Festival.",What Native American tribe at one time lived on Belle Isle?,Powhatan,The Powhatan tribe at one time lived on Belle Isle.
"Pope Paul VI became the first pope to visit six continents, and was the most travelled pope in history to that time, earning the nickname ""the Pilgrim Pope"". With his travels he opened new avenues for the papacy, which were continued by his successors John Paul II and Benedict XVI. He travelled to the Holy Land in 1964, to the Eucharistic Congresses in Bombay, India and Bogotá, Colombia. In 1966, however, he was twice denied permission to visit Poland for the 1,000th anniversary of the baptism of Poland. In 1967, however, fifty years after the first apparition, he visited Fátima in Portugal. He undertook a pastoral visit to Africa in 1969. On 27 November 1970 he was the target of an assassination attempt at Manila International Airport in the Philippines. He was only lightly stabbed by the would-be assassin Benjamín Mendoza y Amor Flores, who was subdued by the pope's personal bodyguard and trip organizer, Msgr. Paul Marcinkus.",Who organized Paul Vi's visit to Manila?,Msgr. Paul Marcinkus,Msgr. Paul Marcinkus organized Paul VI's visit to Manila.
"The George Washington Bridge is the world's busiest motor vehicle bridge, connecting Manhattan to Bergen County, New Jersey. The Verrazano-Narrows Bridge is the longest suspension bridge in the Americas and one of the world's longest. The Brooklyn Bridge is an icon of the city itself. The towers of the Brooklyn Bridge are built of limestone, granite, and Rosendale cement, and their architectural style is neo-Gothic, with characteristic pointed arches above the passageways through the stone towers. This bridge was also the longest suspension bridge in the world from its opening until 1903, and is the first steel-wire suspension bridge.","Starting in Manhattan, the George Washington Bridge terminates in what New Jersey county?",Bergen,Bergen County
"In 1822, the citizens of Boston voted to change the official name from ""the Town of Boston"" to ""the City of Boston"", and on March 4, 1822, the people of Boston accepted the charter incorporating the City. At the time Boston was chartered as a city, the population was about 46,226, while the area of the city was only 4.7 square miles (12 km2).",How many square miles was the city in 1822?,4.7 square miles,4.7 square miles.
"Catalan bears varying degrees of similarity to the linguistic varieties subsumed under the cover term Occitan language (see also differences between Occitan and Catalan and Gallo-Romance languages). Thus, as it should be expected from closely related languages, Catalan today shares many traits with other Romance languages.",What is Catalan a variety of?,Occitan language,I don’t know.
"At present, Malaysia have developed 32 polytechnic at all over states in engineering, agriculture, commerce, hospitality and design courses with 60,840 students in 2009 to 87,440 students in 2012.",How many students were enrolled in polytechnic schools in Malaysia in 2009?,"60,840","60,840 students were enrolled in polytechnic schools in Malaysia in 2009."
"Public and private schools in Hyderabad are governed by the Central Board of Secondary Education and follow a ""10+2+3"" plan. About two-thirds of pupils attend privately run institutions. Languages of instruction include English, Hindi, Telugu and Urdu. Depending on the institution, students are required to sit the Secondary School Certificate or the Indian Certificate of Secondary Education. After completing secondary education, students enroll in schools or junior colleges with a higher secondary facility. Admission to professional graduation colleges in Hyderabad, many of which are affiliated with either Jawaharlal Nehru Technological University Hyderabad (JNTUH) or Osmania University (OU), is through the Engineering Agricultural and Medical Common Entrance Test (EAM-CET).","Students in Hyderabad may be required to acquire one of two different certificates, one is  the Secondary School Certificate, what is the other?",Indian Certificate of Secondary Education,The other certificate is the Indian Certificate of Secondary Education.
"Despite the death of Queen Mary on 24 March, the coronation on 2 June 1953 went ahead as planned, as Mary had asked before she died. The ceremony in Westminster Abbey, with the exception of the anointing and communion, was televised for the first time.[d] Elizabeth's coronation gown was embroidered on her instructions with the floral emblems of Commonwealth countries: English Tudor rose; Scots thistle; Welsh leek; Irish shamrock; Australian wattle; Canadian maple leaf; New Zealand silver fern; South African protea; lotus flowers for India and Ceylon; and Pakistan's wheat, cotton, and jute.",When was the coronation of Elizabeth as Queen?,2 June 1953,The coronation of Elizabeth as Queen was on 2 June 1953.
"The city's elevation is 2,643 ft (806 m) above sea level (as measured at the Tucson International Airport). Tucson is situated on an alluvial plain in the Sonoran desert, surrounded by five minor ranges of mountains: the Santa Catalina Mountains and the Tortolita Mountains to the north, the Santa Rita Mountains to the south, the Rincon Mountains to the east, and the Tucson Mountains to the west. The high point of the Santa Catalina Mountains is 9,157 ft (2,791 m) Mount Lemmon, the southernmost ski destination in the continental U.S., while the Tucson Mountains include 4,687 ft (1,429 m) Wasson Peak. The highest point in the area is Mount Wrightson, found in the Santa Rita Mountains at 9,453 ft (2,881 m) above sea level.",How high is Tucson's airport?,"2,643 ft (806 m) above sea level","Tucson's airport is 2,643 ft (806 m) above sea level."
"In 1974, L. Ottens, director of the audio division of Philips, started a small group with the aim to develop an analog optical audio disc with a diameter of 20 cm and a sound quality superior to that of the vinyl record. However, due to the unsatisfactory performance of the analog format, two Philips research engineers recommended a digital format in March 1974. In 1977, Philips then established a laboratory with the mission of creating a digital audio disc. The diameter of Philips's prototype compact disc was set at 11.5 cm, the diagonal of an audio cassette.",What was the proposed diameter for the original compact disc?,11.5 cm,The proposed diameter for the original compact disc was 11.5 cm.
"Victoria's self-imposed isolation from the public diminished the popularity of the monarchy, and encouraged the growth of the republican movement. She did undertake her official government duties, yet chose to remain secluded in her royal residences—Windsor Castle, Osborne House, and the private estate in Scotland that she and Albert had acquired in 1847, Balmoral Castle. In March 1864, a protester stuck a notice on the railings of Buckingham Palace that announced ""these commanding premises to be let or sold in consequence of the late occupant's declining business"". Her uncle Leopold wrote to her advising her to appear in public. She agreed to visit the gardens of the Royal Horticultural Society at Kensington and take a drive through London in an open carriage.",What year did a protester attach a note to the door at Buckingham Palace saying it was to be sold?,1864,1864
"On 14 September 2009, U.S. Special Forces killed two men and wounded and captured two others near the Somali village of Baarawe. Witnesses claim that helicopters used for the operation launched from French-flagged warships, but that could not be confirmed. A Somali-based al-Qaida affiliated group, the Al-Shabaab, has confirmed the death of ""sheik commander"" Saleh Ali Saleh Nabhan along with an unspecified number of militants. Nabhan, a Kenyan, was wanted in connection with the 2002 Mombasa attacks.",What country's ships did some witnesses say were involved in the Baarawe attack?,French,Some witnesses said that French-flagged warships were involved in the Baarawe attack.
